FEN,Move,WhiteElo,BlackElo
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e2e4,1281,1305
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e7e5,1281,1305
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,g1f3,1281,1305
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,b8c6,1281,1305
r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,f1b5,1281,1305
r1bqkbnr/ppp2ppp/2np4/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,d7d6,1281,1305
r1bqkbnr/ppp2ppp/2np4/1B2p3/4P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq - 0 4,c2c3,1281,1305
r2qkbnr/pppb1ppp/2np4/1B2p3/4P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 1 5,c8d7,1281,1305
r2qkbnr/pppb1ppp/2np4/1B2p3/3PP3/2P2N2/PP3PPP/RNBQK2R b KQkq - 0 5,d2d4,1281,1305
r3kbnr/pppb1ppp/2np1q2/1B2p3/3PP3/2P2N2/PP3PPP/RNBQK2R w KQkq - 1 6,d8f6,1281,1305
r3kbnr/pppb1ppp/2np1q2/1B2P3/4P3/2P2N2/PP3PPP/RNBQK2R b KQkq - 0 6,d4e5,1281,1305
r3kbnr/pppb1ppp/2n2q2/1B2p3/4P3/2P2N2/PP3PPP/RNBQK2R w KQkq - 0 7,d6e5,1281,1305
r3kbnr/pppb1ppp/2n2q2/1B2p1B1/4P3/2P2N2/PP3PPP/RN1QK2R b KQkq - 1 7,c1g5,1281,1305
r3kbnr/pppb1ppp/2nq4/1B2p1B1/4P3/2P2N2/PP3PPP/RN1QK2R w KQkq - 2 8,f6d6,1281,1305
r3kbnr/pppb1ppp/2nq4/1B2p1B1/4P3/2P2N2/PP3PPP/RN1Q1RK1 b kq - 3 8,e1g1,1281,1305
r3kbnr/pppb1ppp/2n5/1B2p1B1/4P3/2P2N2/PP3PPP/RN1q1RK1 w kq - 0 9,d6d1,1281,1305
r3kbnr/pppb1ppp/2n5/1B2p1B1/4P3/2P2N2/PP3PPP/RN1R2K1 b kq - 0 9,f1d1,1281,1305
r3k1nr/pppbbppp/2n5/1B2p1B1/4P3/2P2N2/PP3PPP/RN1R2K1 w kq - 1 10,f8e7,1281,1305
r3k1nr/pppbBppp/2n5/1B2p3/4P3/2P2N2/PP3PPP/RN1R2K1 b kq - 0 10,g5e7,1281,1305
r3k2r/pppbnppp/2n5/1B2p3/4P3/2P2N2/PP3PPP/RN1R2K1 w kq - 0 11,g8e7,1281,1305
r3k2r/pppbnppp/2n5/1B2p3/4P3/2P2N2/PP1N1PPP/R2R2K1 b kq - 1 11,b1d2,1281,1305
r4rk1/pppbnppp/2n5/1B2p3/4P3/2P2N2/PP1N1PPP/R2R2K1 w - - 2 12,e8g8,1281,1305
r4rk1/pppbnppp/2n5/1B2p3/2N1P3/2P2N2/PP3PPP/R2R2K1 b - - 3 12,d2c4,1281,1305
3r1rk1/pppbnppp/2n5/1B2p3/2N1P3/2P2N2/PP3PPP/R2R2K1 w - - 4 13,a8d8,1281,1305
3r1rk1/pppbnppp/2n5/1B2N3/4P3/2P2N2/PP3PPP/R2R2K1 b - - 0 13,c4e5,1281,1305
3r1rk1/pppbnppp/8/1B2n3/4P3/2P2N2/PP3PPP/R2R2K1 w - - 0 14,c6e5,1281,1305
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d2d4,1193,1221
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,d7d5,1193,1221
rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,g1f3,1193,1221
rnbqkbnr/ppp2ppp/4p3/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 3,e7e6,1193,1221
rnbqkbnr/ppp2ppp/4p3/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,e2e3,1193,1221
rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq - 1 4,g8f6,1193,1221
rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/3BPN2/PPP2PPP/RNBQK2R b KQkq - 2 4,f1d3,1193,1221
rnbqkb1r/pp3ppp/4pn2/2pp4/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq - 0 5,c7c5,1193,1221
rnbqkb1r/pp3ppp/4pn2/2pp4/3P4/2PBPN2/PP3PPP/RNBQK2R b KQkq - 0 5,c2c3,1193,1221
rnbqkb1r/pp3ppp/4pn2/3p4/2pP4/2PBPN2/PP3PPP/RNBQK2R w KQkq - 0 6,c5c4,1193,1221
rnbqkb1r/pp3ppp/4pn2/3p4/2pP4/2P1PN2/PPB2PPP/RNBQK2R b KQkq - 1 6,d3c2,1193,1221
rnbqkb1r/p4ppp/4pn2/1p1p4/2pP4/2P1PN2/PPB2PPP/RNBQK2R w KQkq - 0 7,b7b5,1193,1221
rnbqkb1r/p4ppp/4pn2/1p1p4/2pP4/2P1PN2/PPB2PPP/RNBQ1RK1 b kq - 1 7,e1g1,1193,1221
rnbqkb1r/5ppp/p3pn2/1p1p4/2pP4/2P1PN2/PPB2PPP/RNBQ1RK1 w kq - 0 8,a7a6,1193,1221
rnbqkb1r/5ppp/p3pn2/1p1p4/2pP4/2P1PN1P/PPB2PP1/RNBQ1RK1 b kq - 0 8,h2h3,1193,1221
rn1qkb1r/1b3ppp/p3pn2/1p1p4/2pP4/2P1PN1P/PPB2PP1/RNBQ1RK1 w kq - 1 9,c8b7,1193,1221
rn1qkb1r/1b3ppp/p3pn2/1p1p4/2pP4/2P1PN1P/PPB2PP1/RNBQR1K1 b kq - 2 9,f1e1,1193,1221
r2qkb1r/1b1n1ppp/p3pn2/1p1p4/2pP4/2P1PN1P/PPB2PP1/RNBQR1K1 w kq - 3 10,b8d7,1193,1221
r2qkb1r/1b1n1ppp/p3pn2/1p1p4/2pP4/2P1PN1P/PPBN1PP1/R1BQR1K1 b kq - 4 10,b1d2,1193,1221
r2qkb1r/1b1n1ppp/p3pn2/3p4/1ppP4/2P1PN1P/PPBN1PP1/R1BQR1K1 w kq - 0 11,b5b4,1193,1221
r2qkb1r/1b1n1ppp/p3pn2/3p4/1ppPP3/2P2N1P/PPBN1PP1/R1BQR1K1 b kq - 0 11,e3e4,1193,1221
r2qkb1r/1b1n1ppp/4pn2/p2p4/1ppPP3/2P2N1P/PPBN1PP1/R1BQR1K1 w kq - 0 12,a6a5,1193,1221
r2qkb1r/1b1n1ppp/4pn2/p2P4/1ppP4/2P2N1P/PPBN1PP1/R1BQR1K1 b kq - 0 12,e4d5,1193,1221
r2qkb1r/3n1ppp/4pn2/p2b4/1ppP4/2P2N1P/PPBN1PP1/R1BQR1K1 w kq - 0 13,b7d5,1193,1221
r2qkb1r/3n1ppp/4pn2/p2b4/1PpP4/5N1P/PPBN1PP1/R1BQR1K1 b kq - 0 13,c3b4,1193,1221
r2qk2r/3n1ppp/4pn2/p2b4/1bpP4/5N1P/PPBN1PP1/R1BQR1K1 w kq - 0 14,f8b4,1193,1221
r2qk2r/3n1ppp/4pn2/p2b4/1bpP4/P4N1P/1PBN1PP1/R1BQR1K1 b kq - 0 14,a2a3,1193,1221
r2qk2r/3n1ppp/3bpn2/p2b4/2pP4/P4N1P/1PBN1PP1/R1BQR1K1 w kq - 1 15,b4d6,1193,1221
r2qk2r/3n1ppp/3bpn2/p2b4/2pPN3/P4N1P/1PB2PP1/R1BQR1K1 b kq - 2 15,d2e4,1193,1221
r3k2r/2qn1ppp/3bpn2/p2b4/2pPN3/P4N1P/1PB2PP1/R1BQR1K1 w kq - 3 16,d8c7,1193,1221
r3k2r/2qn1ppp/3Npn2/p2b4/2pP4/P4N1P/1PB2PP1/R1BQR1K1 b kq - 0 16,e4d6,1193,1221
r3k2r/3n1ppp/3qpn2/p2b4/2pP4/P4N1P/1PB2PP1/R1BQR1K1 w kq - 0 17,c7d6,1193,1221
